Time(s)	CPU	GPU	LGPU
579s	3.2	100	100
581s	3.1	100	98
582s	3.1	99	99
584s	3.2	100	100
585s	3.2	100	100
586s	3.2	100	99
588s	3.2	100	99
589s	3.1	100	100
590s	0.2	0	0
592s	43.0	0	0
593s	57.3	0	0
594s	22.1	47	0
596s	3.2	100	100
597s	3.2	100	100
599s	3.2	100	100
600s	3.2	100	100
601s	3.1	99	98
603s	3.2	99	99
604s	3.1	100	100
605s	3.2	100	100
607s	3.1	100	99
608s	3.2	100	100
609s	3.2	100	100
611s	3.2	100	99
612s	3.2	100	100
613s	3.2	100	100
615s	3.2	100	100
616s	3.2	100	100
617s	0.2	0	0
619s	3.3	0	0
620s	52.3	0	0
622s	43.4	33	0
623s	3.2	100	100
624s	3.2	100	99
626s	3.2	100	100
627s	3.2	99	98
628s	3.1	100	99
630s	3.2	100	100
631s	3.2	100	100
632s	3.1	100	99
634s	3.1	99	99
635s	3.2	100	100
636s	3.2	100	99
638s	3.2	99	99
639s	3.2	100	100
640s	3.2	100	100
642s	3.1	100	100
643s	3.1	100	100
645s	3.2	100	100
646s	0.2	0	0
647s	46.0	0	0
649s	57.9	0	0
650s	26.8	89	0
651s	3.1	97	95
653s	3.1	99	99
654s	3.2	100	100
655s	3.2	99	99
657s	3.2	99	99
658s	3.1	100	100
659s	3.1	100	100
661s	3.5	100	100
662s	3.2	100	99
664s	3.2	100	100
665s	3.2	100	100
666s	3.2	100	100
668s	3.2	100	100
669s	3.2	100	100
670s	3.2	100	100
672s	3.3	100	100
673s	0.2	0	0
674s	28.8	0	0
676s	54.2	0	0
677s	34.7	54	0
679s	3.2	100	100
680s	3.2	99	99
681s	3.2	100	99
683s	3.2	100	100
684s	3.1	99	98
685s	3.2	100	100
687s	3.2	100	100
688s	3.2	100	100
689s	3.2	100	100
691s	3.2	100	100
692s	3.2	100	100
693s	3.1	100	99
695s	3.2	100	99
696s	3.2	100	100
697s	3.2	100	100
699s	3.2	99	99
700s	0.2	0	0
701s	0.2	0	0
703s	47.3	0	0
704s	54.8	0	0
706s	8.1	99	0
707s	3.2	98	93
708s	3.2	100	100
710s	3.2	100	100
711s	3.2	99	98
712s	3.2	99	99
714s	3.2	100	100
715s	3.2	100	100
716s	3.1	100	99
718s	3.1	100	100
719s	3.2	100	100
720s	3.1	100	100
722s	3.2	99	99
723s	3.2	100	100
724s	3.2	100	99
726s	3.2	100	99
727s	3.2	99	99
728s	0.3	0	0
730s	38.0	0	0
731s	55.8	0	0
733s	22.4	99	0
734s	3.2	100	100
735s	3.2	99	99
737s	3.2	100	100
738s	3.1	100	100
739s	3.1	99	98
741s	3.2	99	99
742s	3.2	100	100
743s	3.2	100	100
745s	3.2	100	100
746s	3.2	100	100
747s	3.2	100	100
749s	3.8	100	99
750s	3.2	100	99
751s	3.1	100	100
753s	3.1	100	100
754s	3.2	100	100
755s	0.2	0	0
757s	4.3	0	0
758s	57.9	0	0
760s	47.8	0	0
761s	4.6	100	70
762s	3.2	99	99
764s	3.2	100	100
