epoch,iteration,throughput(MBs),iteration_time,time_diff,iter_persec
10,6,23.73668227319324,73.78759527206421,5.055870532989502, 1.1868348412928602,120.0
10,6,25.704832589151547,73.79331755638123,5.057762622833252, 1.1863776158027395,130.0
10,6,23.694741874412564,73.79307651519775,5.064842462539673, 1.184737986107407,120.0
10,6,25.669068053737213,73.80614972114563,5.06499171257019, 1.1847272217815832,130.0
10,6,21.704727396170018,73.77030515670776,5.068835258483887, 1.1838953912012238,110.0
10,6,23.634835018944816,73.77849817276001,5.077656984329224, 1.1817426943198708,120.0
10,7,22.205490192756578,74.5955822467804,5.8548150062561035, 1.1956809228596539,130.0
11,6,21.706748284473008,81.01178526878357,5.06804347038269, 1.1840051203427815,110.0
11,6,27.61929748892199,81.02238512039185,5.0692572593688965, 1.1836846791722202,140.0
11,6,23.680337485278493,81.01446866989136,5.067907333374023, 1.1840177655660422,120.0
11,6,19.704192634595508,81.02333354949951,5.075433969497681, 1.1822519468583288,100.0
11,6,23.64109178530665,80.98963737487793,5.076350212097168, 1.1820554220936375,120.0
11,6,25.608905741287266,81.03050327301025,5.0770556926727295, 1.1819500508717378,130.0
11,6,23.624073273627513,81.02092599868774,5.080103158950806, 1.181204328985026,120.0
11,7,23.93293622711377,81.76341891288757,5.850252866744995, 1.1966476404868802,140.0
12,6,25.712658268020864,88.26101994514465,5.05626916885376, 1.1867388573868598,130.0
12,6,23.687363024413422,88.23085331916809,5.066391229629517, 1.1843690987912208,120.0
12,6,23.6990272180984,88.25867056846619,5.064065456390381, 1.184952867353143,120.0
12,6,25.65367238905692,88.2323362827301,5.067961931228638, 1.1840163172007825,130.0
12,6,25.609710412658345,88.27585697174072,5.076849699020386, 1.1819881333498223,130.0
12,6,23.625888582211456,88.27494835853577,5.079817771911621, 1.1812955381208228,120.0
12,6,23.61404697497917,88.27431130409241,5.082311153411865, 1.1807035120427816,120.0
12,7,23.882698069349328,89.06666254997253,5.862441062927246, 1.194135923393098,140.0
13,6,25.86251192725971,95.46691751480103,5.026976823806763, 1.1936551892798144,130.0
13,6,19.89160666340444,95.47689771652222,5.027547359466553, 1.1934967394158114,100.0
13,6,25.348229076488906,95.57301139831543,5.129103183746338, 1.1699191352709517,130.0
13,6,21.42454591882555,95.57174730300903,5.134700298309326, 1.1686121925005555,110.0
13,6,23.360987944816035,95.54661512374878,5.137101173400879, 1.1680501562369678,120.0
13,6,27.266107317667526,95.57491850852966,5.134957790374756, 1.1685482161150456,140.0
13,6,23.33886142822756,95.55125403404236,5.142017126083374, 1.166943828970448,120.0
13,6,23.3390789577896,95.59107851982117,5.1421380043029785, 1.1669554089243732,120.0
14,6,21.998176916528656,102.72673845291138,5.000890254974365, 1.1999017033039916,110.0
