epoch,iteration,throughput(MBs),iteration_time,time_diff,iter_persec,Size
21,8,15.221904695427300,117.712331533432,5.913640737533570,1.353065233566680,90.0
22,8,17.490769429652100,122.57804679870600,5.146317958831790,1.554737005447530,90.0
22,8,17.554453062819800,123.09379744529700,5.127852916717530,1.5603977870297000,90.0
22,8,17.454376777198300,122.99272274971000,5.156982660293580,1.5515017362271100,90.0
22,8,17.40188248112960,123.09082317352300,5.172959089279180,1.5468357097136500,90.0
22,8,17.425088536262000,123.09977173805200,5.166131496429440,1.5488986177340300,90.0
22,8,17.410457555227000,122.80175042152400,5.170186758041380,1.5475984398578400,90.0
22,8,17.358246661816900,122.91618609428400,5.185662746429440,1.5429579549600400,90.0
22,8,17.218438093514300,123.21103954315200,5.228002071380620,1.5305303437851500,90.0
23,8,17.794374894261300,128.4790358543400,5.059372186660770,1.5817248970164400,90.0
